round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
19,highExpression,42,152,182,1991.6814977020786,0.654640576718587,0.8147233779459568,6.065894503884112e-13,0.6762785801797295,7.040084556572005e-08
20,highExpression,42,160,174,1992.6047131569426,0.6543203296765252,0.8159391348802787,5.255874819984973e-13,0.6652411339946527,1.3638007118104638e-07
1,highExpression,123,8,326,4588.701562154269,0.05942364981715276,0.7304992066724194,1.7286037037508471e-09,0.4450360090324659,0.001202366329375885
2,highExpression,123,16,318,3389.8137490149265,0.4867061013069316,0.7265802923928228,2.3265489923454134e-09,0.3533230049723239,0.011837860775607952
3,highExpression,123,24,310,3379.8333547885545,0.4897241632877336,0.7265471267021111,2.3323550261018725e-09,0.3528100539341398,0.01196983462392105
4,highExpression,123,32,302,3359.4573671095627,0.4958582129699567,0.7264776133772012,2.3445684421370323e-09,0.35277039754784423,0.011980089941005906
5,highExpression,123,40,294,3384.106694416454,0.4884329987539827,0.7265618779529743,2.329770967516e-09,0.35338520191464196,0.01182194377402672
6,highExpression,123,48,286,3355.381677479258,0.4970807193654738,0.7550785796405954,2.368632260332829e-10,0.5304807139194396,7.412793231334919e-05
7,highExpression,123,56,278,3337.434889772973,0.5024462178451816,0.7598109114656716,1.572765319932734e-10,0.6049411726922593,3.2679774385555795e-06
8,highExpression,123,64,270,3277.3961439723453,0.5201866745055149,0.7798764268890602,2.482864093642426e-11,0.7246137553470952,2.695420719722068e-09
9,highExpression,123,72,262,3266.168954694766,0.5234683822359893,0.7820230355157205,2.014899111439563e-11,0.8030680621233365,2.2778300184601087e-12
10,highExpression,123,80,254,3264.937371289466,0.5238276886839117,0.7816735986991078,2.084908979301889e-11,0.8161825092891545,5.106563372159932e-13
11,highExpression,123,88,246,3278.6398603118837,0.5198224433444324,0.7795430162890175,2.564187913329875e-11,0.7855209259598794,1.4264523802887187e-11
12,highExpression,123,96,238,3258.3853998583995,0.5257369056769227,0.7838535821382698,1.6830634163515612e-11,0.8108559939365889,9.50457003234972e-13
13,highExpression,123,104,230,2831.657314048367,0.6418245489609689,0.8346524944913578,5.019730472719872e-14,0.8485931910905392,7.156896277092894e-15
14,highExpression,123,112,222,2712.0520353339616,0.6714431968200665,0.8443279462957994,1.3252091479864522e-14,0.8381188079004395,3.1464705517259646e-14
15,highExpression,123,120,214,2713.392948403732,0.671118221473132,0.8429733678679326,1.605424001810789e-14,0.8341282878938985,5.38210227788043e-14
16,highExpression,123,128,206,2714.869227499686,0.6707602538783137,0.8427044768962881,1.6673740919447193e-14,0.8280098288451595,1.193148335731262e-13
17,highExpression,123,136,198,2715.036593996239,0.670719658625478,0.8427019686089439,1.6679625374433607e-14,0.8283233505819276,1.1463285970137907e-13
18,highExpression,123,144,190,2715.1899482775057,0.670682459881045,0.8426966711368044,1.6692059760006858e-14,0.8303187140725956,8.868228472588284e-14
19,highExpression,123,152,182,2714.8162093509395,0.6707731130696237,0.842648740155444,1.6804966088941512e-14,0.838019702401785,3.189256061305077e-14
20,highExpression,123,160,174,2715.421812337156,0.6706262132364452,0.842656114427307,1.6787548104636274e-14,0.856342567402012,2.2231761729539455e-15
1,highExpression,456,8,326,4664.763877529213,-0.7346515429016831,0.7544343805245719,2.5026295665567893e-10,0.5039790613886777,0.00019046087693110563
2,highExpression,456,16,318,3396.5508889317944,0.0803360400156089,0.7068176548954349,9.665643697451421e-09,0.4949518547164664,0.00025816333681325426
3,highExpression,456,24,310,3248.588218990856,0.15871674262358537,0.6853671881659851,3.99737176437233e-08,0.5012024610029576,0.00020932715703419675
4,highExpression,456,32,302,3241.6126513916925,0.16232577357021927,0.6839059554830269,4.384137946231553e-08,0.4986055268073302,0.00022849395448812926
5,highExpression,456,40,294,3143.755683744148,0.21213738873107058,0.6486883472852117,3.497147480027692e-07,0.47771396486155093,0.0004510099247779406
6,highExpression,456,48,286,2454.4095818128935,0.5197725383578684,0.7377981471368446,9.803063340048432e-10,0.49820840837305796,0.0002315614979316403
7,highExpression,456,56,278,2344.424666317279,0.5618473122795038,0.756219020045724,2.1478747344825504e-10,0.5160312075086483,0.00012520311136685928
8,highExpression,456,64,270,2320.698500634546,0.5706708671163802,0.7598881163296146,1.5621727507552166e-10,0.4763201541805319,0.00047122184165461375
9,highExpression,456,72,262,2370.435143299508,0.5520711136590954,0.754051674511423,2.5855915798517685e-10,0.38095811345367936,0.006344828201284191
10,highExpression,456,80,254,2365.6673919492023,0.5538711762645572,0.7575316187990705,1.9178707274528496e-10,0.35294224006095243,0.011935705105565504
11,highExpression,456,88,246,2406.191842909673,0.5384556739964559,0.7680413308681958,7.542154689166235e-11,0.3639175306684124,0.00937819848566088
12,highExpression,456,96,238,2417.752873314057,0.5340098549577436,0.7683916093291632,7.305049008452331e-11,0.35544537651528535,0.011305002324624475
13,highExpression,456,104,230,2422.9213304325945,0.5320154208746384,0.7723655258309848,5.0644358724947636e-11,0.3878260792833707,0.005388981684073969
14,highExpression,456,112,222,2463.3558334114236,0.5162653278617901,0.7724490957971821,5.025175685297726e-11,0.31722440834720084,0.024787031709564717
15,highExpression,456,120,214,2500.9741468550096,0.501378132822003,0.7677885984411608,7.717730088205314e-11,0.313684272408221,0.026534310322158288
16,highExpression,456,128,206,2504.5958683031513,0.4999329542903428,0.7671263786290071,8.196290629329537e-11,0.3353474720729538,0.0172808285057418
17,highExpression,456,136,198,2504.3463341216375,0.5000325932032661,0.7669597568499523,8.321045617079886e-11,0.3452402817399278,0.014069241273468126
18,highExpression,456,144,190,2499.6576103138445,0.5019029532224087,0.7665705320855157,8.619501826326576e-11,0.3630510603572971,0.009561269564973982
19,highExpression,456,152,182,2500.9822908225374,0.5013748854738356,0.7668240867176442,8.423949924027083e-11,0.3662713725890378,0.008896074408283798
20,highExpression,456,160,174,2502.417209145278,0.5008025570988002,0.7662869980973777,8.843255501471552e-11,0.3704373827158089,0.008095179183822302
1,highExpression,789,8,326,2797.8529207707284,0.5083087754628293,0.8427327784331728,1.660748198833105e-14,0.3523843364206642,0.012080321749225346
2,highExpression,789,16,318,2700.9564474469644,0.5417759717432037,0.8436574123147272,1.4575384559478166e-14,0.3564082555416011,0.011070136877735134
3,highExpression,789,24,310,2635.667588880542,0.5636610639240777,0.8436290211253304,1.463409775137637e-14,0.3545497031007601,0.011527307641860978
4,highExpression,789,32,302,2606.7829468655677,0.5731724547462964,0.8434405264757795,1.502964627717537e-14,0.3553185829123096,0.011336246693166541
5,highExpression,789,40,294,2544.6760410052975,0.5932686034807715,0.8425404321465315,1.706277656062503e-14,0.3536596228018079,0.011751935124171938
6,highExpression,789,48,286,2547.279601946092,0.5924358910352048,0.8425974167791759,1.692666834150046e-14,0.35354646707862925,0.011780759495793984
7,highExpression,789,56,278,2540.266995799681,0.5946768326639612,0.8269049336585116,1.3730471871918286e-13,0.18950112535001234,0.1874825583300482
8,highExpression,789,64,270,2245.543143829587,0.683272696390091,0.8813953696548742,3.0018325729015044e-17,0.4450536322908205,0.0012017615634435153
9,highExpression,789,72,262,2055.994577723358,0.7344864886422627,0.9009082131401018,5.039117806850231e-19,0.5579274634226898,2.558276978329119e-05
10,highExpression,789,80,254,1985.606299520124,0.7523553328053827,0.9051756597553531,1.8405426351759122e-19,0.5718134041822701,1.439576562690191e-05
11,highExpression,789,88,246,1997.2626114221293,0.7494392498880971,0.9030047401560158,3.090234127808242e-19,0.5402809905017414,5.123992050571919e-05
12,highExpression,789,96,238,2084.0414800233752,0.7271930602798369,0.8861845946597424,1.180416082140413e-17,0.409941103149574,0.0031110305210175623
13,highExpression,789,104,230,2043.2180106790543,0.7377761963795847,0.8998835749643864,6.374251944919938e-19,0.47486084565540065,0.000493256707520088
14,highExpression,789,112,222,2021.423597735907,0.7433404911671517,0.9099314225617773,5.655197458610649e-20,0.5734410276475148,1.343443911945697e-05
15,highExpression,789,120,214,2037.5509580875269,0.7392287826913798,0.9089441664648361,7.263317450537394e-20,0.558965879763737,2.4527842293895006e-05
16,highExpression,789,128,206,2059.28217351693,0.7336366819260303,0.9074976262665941,1.0427376341461896e-19,0.5063695568219526,0.00017547181170320822
17,highExpression,789,136,198,2061.303623139832,0.7331134857270984,0.907966653804954,9.279828353770416e-20,0.502199548648972,0.0002023650997194948
18,highExpression,789,144,190,2066.7132747721816,0.731710822339239,0.9075489416410114,1.0295520123781082e-19,0.4903268500705031,0.0003007199772495765
19,highExpression,789,152,182,2070.391570279551,0.7307549809322842,0.9074707779850129,1.0497004289332578e-19,0.5018149792616655,0.00020502497835608006
20,highExpression,789,160,174,2068.1501057549062,0.7313376499138761,0.9074031506778598,1.0674359689928916e-19,0.5070540085671735,0.00017138240326058297
1,highExpression,999,8,326,3962.245790235224,-0.9770989270259784,0.7195714390028215,3.908820998444952e-09,0.5533189575991591,3.078774643951618e-05
2,highExpression,999,16,318,2801.153855605029,0.01185767450153652,0.721328861302643,3.4370245389656224e-09,0.5649803930649842,1.916546019559279e-05
3,highExpression,999,24,310,2750.3759122684783,0.04735808334078928,0.7213021133481072,3.4437849900097516e-09,0.56615639366161,1.8252631399476442e-05
4,highExpression,999,32,302,2533.716735612576,0.19153412146032145,0.7208660263400164,3.555785945584567e-09,0.5775911327977347,1.1244976830825954e-05
5,highExpression,999,40,294,2573.364940705325,0.16603401991825695,0.7209971890141796,3.521743671517938e-09,0.5707906678991325,1.5031892855412237e-05
6,highExpression,999,48,286,2392.2966413965346,0.27926496076949636,0.7215172194338813,3.389770310517666e-09,0.570371243637763,1.5300188906847246e-05
7,highExpression,999,56,278,2270.194768477939,0.3509594781208929,0.7470781402686921,4.636884937738287e-10,0.6400844919923276,5.580502103212917e-07
8,highExpression,999,64,270,2345.6843313821155,0.3070774278102144,0.7206737775382661,3.6062429202724294e-09,0.43813248761022877,0.0014613021712283976
9,highExpression,999,72,262,2337.8711035067477,0.3116858443948123,0.7202303862055315,3.725195895343175e-09,0.41016484671296194,0.003093199998694312
10,highExpression,999,80,254,2313.0736677077284,0.32621008825501896,0.7209591400098143,3.531587272246873e-09,0.3666171276994428,0.008827092767814397
11,highExpression,999,88,246,2267.2515879301736,0.35264127670780054,0.7296024263813558,1.8510359111431022e-09,0.45980335077281875,0.0007812792863283075
12,highExpression,999,96,238,2388.663968775361,0.2814521532363947,0.7045820397832608,1.1272550112925708e-08,0.24003327334945018,0.09315050494884765
13,highExpression,999,104,230,2402.400654151194,0.2731639659691003,0.7021286997343774,1.3323401168057597e-08,0.20228177653016025,0.1588996242988888
14,highExpression,999,112,222,2394.1013417606687,0.2781771346360419,0.7108400264593024,7.302800229177943e-09,0.38356126520682904,0.0059664379233857895
15,highExpression,999,120,214,2395.34070376802,0.2774296045503911,0.7121059504150029,6.679602646595242e-09,0.395814210104198,0.004437653645775156
16,highExpression,999,128,206,2417.617697192069,0.26392710225486715,0.7086151438128475,8.532559608706315e-09,0.37233004874284215,0.0077524745913324315
17,highExpression,999,136,198,2413.1794485528717,0.26662717835526306,0.710329252135536,7.56940538318219e-09,0.35700452753116707,0.010926808360320625
18,highExpression,999,144,190,2414.997845689109,0.26552152872966184,0.7104137612354823,7.524671884259177e-09,0.3571180069753511,0.010899712421893222
19,highExpression,999,152,182,2414.8263480643886,0.2656258409061504,0.7114723420282495,6.984984724401579e-09,0.3615110088592949,0.009894278562116948
20,highExpression,999,160,174,2414.478775001017,0.26583722696046896,0.710958748086879,7.242109845318728e-09,0.3692287321675806,0.008320833181637817
1,random,42,8,326,2895.3297335668294,0.2701601151263454,0.768414313479561,7.289926228729667e-11,0.5592677334953525,2.4228789361439168e-05
2,random,42,16,318,2200.841384110723,0.5782947378257648,0.7697975080321166,6.42244602408624e-11,0.4420786716765584,0.0013077906669566146
3,random,42,24,310,2256.7876789073434,0.5565823899644873,0.751525743887033,3.2018516836439194e-10,0.5176286489961032,0.0001182909086059645
4,random,42,32,302,2444.881272569164,0.47958826572653834,0.695923994941106,2.018374032250781e-08,0.6139687803984646,2.1182008662376498e-06
5,random,42,40,294,2410.283700385256,0.494212769809834,0.7080976667328537,8.845254378392384e-09,0.58147501264231,9.499318163084205e-06
6,random,42,48,286,2395.295720633587,0.5004835328437425,0.7136363128304769,5.993000671316701e-09,0.6279413752888002,1.0535679711794375e-06
7,random,42,56,278,2434.7772266172524,0.4838808247398373,0.7156778558145859,5.1799894649886705e-09,0.6268839112459074,1.1120874162519394e-06
8,random,42,64,270,2237.525716452303,0.564119336209698,0.7960282186804182,4.857772498120718e-12,0.7194600815464454,3.9406817151811935e-09
9,random,42,72,262,2241.09356672219,0.5627281594991774,0.7950044378188458,5.4100884402596655e-12,0.7094528504001192,8.048298320765025e-09
10,random,42,80,254,2124.190648495159,0.6071574532974577,0.8093480320999735,1.1292229054186003e-12,0.7421186636679494,6.945436293713065e-10
11,random,42,88,246,2187.074295319769,0.5835540859624837,0.8085921099057515,1.2304143052871063e-12,0.75123749640161,3.280392566114337e-10
12,random,42,96,238,2169.923395126402,0.5900599619701923,0.8154499627561339,5.568608303949601e-13,0.6539619800553859,2.6069329755983556e-07
13,random,42,104,230,2113.2484335506374,0.6111942812654819,0.8119142257937952,8.414124534760414e-13,0.6431679623611511,4.7278324114583094e-07
14,random,42,112,222,2041.437436838889,0.6371695877350532,0.8202206498132009,3.1457791626894796e-13,0.6646324505798977,1.413319774309446e-07
15,random,42,120,214,2053.517634882529,0.6328627875002169,0.8225806926916345,2.3567983830819935e-13,0.6785201186024703,6.134216408893055e-08
16,random,42,128,206,2017.363707634147,0.645676514182728,0.823301761230928,2.155948963922023e-13,0.696446382776853,1.9497935475164085e-08
17,random,42,136,198,1983.8920381877226,0.65733669318001,0.8243065329421242,1.9030157184053282e-13,0.7179279956047065,4.404609703510071e-09
18,random,42,144,190,1960.4608850314514,0.6653830810242682,0.8245206633175347,1.852883801346797e-13,0.7166241552495962,4.839438128441259e-09
19,random,42,152,182,1942.5423100338917,0.6714719118582062,0.8243899821081807,1.883327457251682e-13,0.7145846671554278,5.601448442559241e-09
20,random,42,160,174,1946.619696681236,0.6700913067895977,0.8229531659213831,2.2509285282774606e-13,0.7011534738334735,1.4232120196390663e-08
1,random,123,8,326,4588.701562154269,0.05942364981715276,0.7304992066724194,1.7286037037508471e-09,0.4450360090324659,0.001202366329375885
2,random,123,16,318,4530.7335996008505,0.08303769578728915,0.3765712886710061,0.007029894728553237,0.7786391003927899,2.7975372816475064e-11
3,random,123,24,310,3968.974322157497,0.29632680675134937,0.5499061393650896,3.525161194511526e-05,0.7550877759955599,2.366769358480056e-10
4,random,123,32,302,3991.8475425422876,0.2881928913931151,0.5425870471890398,4.689689226835685e-05,0.7825903601385791,1.905953333635656e-11
5,random,123,40,294,3965.0495729134245,0.2977177834246275,0.5525487822754879,3.1747081624188765e-05,0.7783499838260247,2.8763205374292718e-11
6,random,123,48,286,3420.321383329827,0.47742544499296125,0.6957570170897617,2.0407687888874816e-08,0.7756515625362176,3.720064068970366e-11
7,random,123,56,278,3265.438672858847,0.5236814535649016,0.7340514095621236,1.314653356171629e-09,0.8318646232066361,7.252327133946471e-14
8,random,123,64,270,3090.9557944830312,0.5732239727590293,0.7698600157217967,6.385647889703596e-11,0.8115092489502699,8.81660671327108e-13
9,random,123,72,262,2852.0612798756097,0.6366441693751437,0.8040311463282787,2.0487966922851704e-12,0.8260555262103538,1.5285589871721422e-13
10,random,123,80,254,2795.4702878999447,0.650920625079134,0.8135810675759587,6.933802403110606e-13,0.8493275365545282,6.42439827167468e-15
11,random,123,88,246,2844.358761468984,0.6386041382690978,0.8049183453500786,1.857281906791104e-12,0.8498723354605352,5.9276577967811716e-15
12,random,123,96,238,2812.4450451427515,0.6466683686290979,0.8103393400860261,1.0084425813937777e-12,0.8463550906910687,9.911276851697858e-15
13,random,123,104,230,2810.3448878642153,0.6471958633367612,0.8108245945627993,9.538888035382326e-13,0.8698343476671799,2.443753826091418e-16
14,random,123,112,222,2787.9223245191247,0.6528031571362942,0.8114297508599357,8.89773040970571e-13,0.8574182982011341,1.8799761399254642e-15
15,random,123,120,214,2779.3837229864735,0.6549266278291239,0.8129737608187191,7.44194950494432e-13,0.865931368376185,4.743177329568719e-16
16,random,123,128,206,2778.3608921091986,0.6551805594851444,0.8132271130848103,7.225811826783311e-13,0.8696416079491062,2.526367956999864e-16
17,random,123,136,198,2768.3364800782397,0.6576643090772403,0.814224051538563,6.43176488944349e-13,0.8680724917121176,3.3052325241314005e-16
18,random,123,144,190,2772.0011328406385,0.6567573587774379,0.8135887940082269,6.927554806907354e-13,0.8728728384890663,1.4366504592372114e-16
19,random,123,152,182,2745.0670475093707,0.663395171742671,0.8176854301096089,4.2699840291973096e-13,0.8677142107683679,3.5126978962567483e-16
20,random,123,160,174,2654.7476593827982,0.6851810098731725,0.8314516018224717,7.654264479946383e-14,0.8598016237537186,1.2902573302254721e-15
1,random,456,8,326,4664.763877529213,-0.7346515429016831,0.7544343805245719,2.5026295665567893e-10,0.5039790613886777,0.00019046087693110563
2,random,456,16,318,2732.4234136587443,0.4048192009600525,0.6629322820546292,1.5606957583998308e-07,0.6514422476189913,3.00190776072636e-07
3,random,456,24,310,2755.126176465607,0.3948878098411427,0.6466380953682789,3.9143044571349744e-07,0.7564701022299445,2.1019553584534986e-10
4,random,456,32,302,2695.913965492093,0.42061803425494293,0.6645327083524417,1.421592917433015e-07,0.7730840664728444,4.736139295343235e-11
5,random,456,40,294,2584.6622085298477,0.4674498618379791,0.6930114818332896,2.4441593842655343e-08,0.8173703268187359,4.4338008670380304e-13
6,random,456,48,286,2453.4784919347735,0.5201368215817042,0.7477823156355732,4.375067331438331e-10,0.8015813122606354,2.679628072235515e-12
7,random,456,56,278,2490.651307069259,0.5054857890831599,0.7256770716569253,2.489634521527995e-09,0.7528664258801548,2.859313681708156e-10
8,random,456,64,270,2452.7555669796925,0.520419566231411,0.7496496586710517,3.746687438565048e-10,0.8021589591347122,2.516130588875556e-12
9,random,456,72,262,2461.610151807158,0.5169506917010422,0.7401603359821955,8.126414904483005e-10,0.789258178946996,9.792523293682825e-12
10,random,456,80,254,2435.5722692757563,0.527115632677583,0.7618246751727966,1.3175072159878545e-10,0.7983464695587846,3.797978698361348e-12
11,random,456,88,246,2440.0339696675596,0.5253815015110055,0.7629114388962219,1.1965566409796068e-10,0.7934942560235595,6.334492779056954e-12
12,random,456,96,238,2352.158377206862,0.5589518170448562,0.7921409517153025,7.28825882566305e-12,0.7956122945618413,5.075382776180278e-12
13,random,456,104,230,2107.310886396514,0.6459943957080152,0.8244446320761726,1.8705387994034228e-13,0.8021396055196751,2.521451844264034e-12
14,random,456,112,222,2140.1729004580566,0.6348673768803573,0.8261207322385788,1.5160517966317445e-13,0.8032361235501722,2.2361886590805464e-12
15,random,456,120,214,2135.1476159696426,0.6365800806266206,0.8266626580808718,1.4157998740431035e-13,0.8111680444154403,9.169820145106044e-13
16,random,456,128,206,2108.113516798793,0.6457246777721706,0.8319070717562562,7.21217358496427e-14,0.8123640539100699,7.987517849590671e-13
17,random,456,136,198,2068.5437815696614,0.6588995042037324,0.8304470552741485,8.722032131109481e-14,0.8300184807109419,9.219376596944589e-14
18,random,456,144,190,2041.3683634848976,0.667803023178696,0.8283546951037692,1.1417449422702656e-13,0.8051434679841093,1.8114585200979643e-12
19,random,456,152,182,1992.582291252831,0.6834914483940349,0.8345749983250835,5.071801239437988e-14,0.8074821690410274,1.3947020598477066e-12
20,random,456,160,174,2000.63561593341,0.6809278432486985,0.8327781669049122,6.433345323678675e-14,0.8139044455742748,6.676836702794772e-13
1,random,789,8,326,2797.8529207707284,0.5083087754628293,0.8427327784331728,1.660748198833105e-14,0.3523843364206642,0.012080321749225346
2,random,789,16,318,2582.243210772165,0.5811707686424619,0.8620768031174373,8.94943811457295e-16,0.6113838945209176,2.4015066056845847e-06
3,random,789,24,310,2574.3363497076634,0.5837317624407088,0.8596227979257959,1.3275351813571778e-15,0.3591618826538267,0.010421492951927576
4,random,789,32,302,2520.7958224963404,0.6008666316619571,0.8891560983043219,6.476181692477265e-18,0.532747178060156,6.812905122625013e-05
5,random,789,40,294,1724.560248149669,0.8131902932486013,0.9304654406262624,1.437891873705922e-22,0.8260633632557774,1.5270505965271588e-13
6,random,789,48,286,2028.294063218887,0.7415928446154824,0.9238308074353472,1.1876688084462242e-21,0.8398793332820541,2.471521417134783e-14
7,random,789,56,278,2025.5853419225004,0.7422825725945854,0.9244378236037035,9.869928451202377e-22,0.844047393744141,1.379122619579384e-14
8,random,789,64,270,2238.08713918241,0.6853724999134126,0.9158389810021466,1.1881290789970734e-20,0.7394470959678584,8.601765814380773e-10
9,random,789,72,262,2265.806928301206,0.6775306092000639,0.9139290157086578,1.9917291022872044e-20,0.7865129151753398,1.2918504807501755e-11
10,random,789,80,254,2399.673878682202,0.6383011362601259,0.9098399446177596,5.788565148594307e-20,0.7880700034943106,1.1045518287897035e-11
11,random,789,88,246,2361.333394951841,0.6497667981089872,0.9017406532392636,4.155327719556401e-19,0.8590162845108673,1.4617508299807877e-15
12,random,789,96,238,2065.034122476188,0.7321466015882325,0.9227717283714443,1.6343990658498717e-21,0.8054038189026146,1.759801445775697e-12
13,random,789,104,230,1901.835504893375,0.7728103209429747,0.9292190306485296,2.171346666209627e-22,0.8142277254137471,6.428998049675249e-13
14,random,789,112,222,1850.8177013149905,0.7848358138229543,0.9301494346721124,1.597430373502147e-22,0.8372419282160652,3.5447632986424764e-14
15,random,789,120,214,1913.2933256456117,0.7700646156050602,0.9233501545979976,1.3736397506900457e-21,0.8016829590139665,2.6501461805720855e-12
16,random,789,128,206,1823.2807449598133,0.7911907240731189,0.9274927148701396,3.79605190076291e-22,0.8279298196976399,1.2053841876992676e-13
17,random,789,136,198,1826.926460743172,0.7903548458269549,0.9279370918907603,3.291999192488198e-22,0.823992994415353,1.9787500177511344e-13
18,random,789,144,190,1827.169347047517,0.7902990982939608,0.9257663093591793,6.546815597628755e-22,0.804509158187513,1.9433995685107585e-12
19,random,789,152,182,1822.6435631116465,0.7913366437098166,0.9249100199617672,8.53729621314339e-22,0.852734545178914,3.863483655811339e-15
20,random,789,160,174,1720.6438079115342,0.8140378116766119,0.9341559497414635,4.0510909607774707e-23,0.8573493778265928,1.900359120491765e-15
1,random,999,8,326,3962.245790235224,-0.9770989270259784,0.7195714390028215,3.908820998444952e-09,0.5533189575991591,3.078774643951618e-05
2,random,999,16,318,1984.1039230373992,0.5042366626262182,0.7103854533956643,7.539628404972e-09,0.6808836803797296,5.2980841581570455e-08
3,random,999,24,310,1928.6030575064635,0.5315844790656381,0.7356157022596554,1.163750365094592e-09,0.8170989225311953,4.579663832191125e-13
4,random,999,32,302,1949.4957749471985,0.5213807391883409,0.7599794993016492,1.5497220464657903e-10,0.8081554030410687,1.2927331866382455e-12
5,random,999,40,294,1864.9153546232612,0.5620103736488531,0.7815863811619309,2.102738740196122e-11,0.8305159472192263,8.644503032198958e-14
6,random,999,48,286,2095.331505225662,0.44709430759212465,0.7817908103616726,2.0611728533823593e-11,0.7904534612732219,8.668665171681683e-12
7,random,999,56,278,2275.983434516642,0.3476453406020332,0.7784161251658982,2.858114188903973e-11,0.746706204855015,4.781072946623612e-10
8,random,999,64,270,2277.3379060569837,0.34686865767239783,0.7777643218987613,3.042390846809938e-11,0.76203959138966,1.2927077363434766e-10
9,random,999,72,262,2277.5504064620563,0.34674676346444466,0.7778870387518518,3.006859227818927e-11,0.7647050076820643,1.0195956282873568e-10
10,random,999,80,254,2278.784199255299,0.3460388121143445,0.777179885860087,3.217130058020195e-11,0.7963634863151404,4.6888280183505624e-12
11,random,999,88,246,1782.1482240104322,0.6000246571033603,0.790615066904129,8.526445713594067e-12,0.797316528391594,4.238465616017781e-12
12,random,999,96,238,1933.6920945380464,0.5291091858858323,0.7849736660998089,1.5062866619278098e-11,0.7891540066060047,9.896749455860438e-12
13,random,999,104,230,1940.0108336254368,0.5260266913892047,0.7845553565283767,1.5701429277656927e-11,0.7972779614898043,4.2558653971191556e-12
14,random,999,112,222,1948.1653898752597,0.5220337599965812,0.7796127458308271,2.546974129036386e-11,0.8370258166127172,3.6500410171083e-14
15,random,999,120,214,1872.6422393808546,0.5583734188480253,0.7822352931045791,1.9734658536377672e-11,0.8534184444320363,3.4832030258102356e-15
16,random,999,128,206,1954.8814679686554,0.5187326113712012,0.7795656444260117,2.558589786761962e-11,0.8541198131360138,3.130344299395229e-15
17,random,999,136,198,1954.5771046360942,0.5188824606031015,0.7796808875891977,2.5302580135272302e-11,0.8524282468206568,4.046317839202874e-15
18,random,999,144,190,2031.326705522959,0.4803569401257436,0.7774872325848474,3.1240865824556184e-11,0.8508540393235078,5.123383440613791e-15
19,random,999,152,182,2022.5100374081771,0.48485801588519806,0.7850019999210008,1.502051549139652e-11,0.8408178768333825,2.1704362082345197e-14
20,random,999,160,174,2036.876402175374,0.47751367441554937,0.7909506573711745,8.23814155063021e-12,0.8472981045123231,8.646178787020633e-15
1,log_likelihood,42,8,326,2895.3297335668294,0.2701601151263454,0.768414313479561,7.289926228729667e-11,0.5592677334953525,2.4228789361439168e-05
